2025-08-25, 12:16:05

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-5.469553545117378,-43.611133098602295,25.277188420295715
1.0,-5.548358708620071,-41.39671325683594,25.403299927711487
2.0,-5.698087811470032,-38.4100079536438,25.553059577941895
3.0,-6.013307347893715,-35.67547798156738,25.65552592277527
4.0,-6.218200176954269,-32.75969624519348,25.828930735588074
5.0,-6.470376253128052,-29.60749864578247,26.025980710983276
6.0,-6.210319697856903,-27.298516035079956,26.18362307548523
7.0,-6.2812440097332,-25.052574276924133,26.40431821346283
8.0,-6.328526884317398,-23.184898495674133,26.62501633167267
9.0,-6.297004967927933,-22.089509665966034,26.82206630706787
10.0,-6.328526884317398,-21.30146026611328,27.066409587860107
11.0,-6.328526884317398,-21.104449033737183,27.294987440109253
12.0,-6.178797781467438,-21.206894516944885,27.476274967193604
13.0,-6.052710115909576,-21.703365445137024,27.6654452085495
14.0,-5.934502556920052,-22.239239513874054,27.894023060798645
15.0,-5.792653933167458,-23.04304987192154,28.05166244506836
16.0,-5.540477856993675,-23.925665020942688,28.296005725860596
17.0,-5.264660716056824,-25.225946307182312,28.516703844070435
18.0,-5.028245970606804,-26.683837175369263,28.69010865688324
19.0,-4.673624038696289,-28.38602364063263,28.918686509132385
20.0,-4.397806897759438,-30.87625801563263,29.115739464759827
21.0,-3.972260281443596,-33.41377675533295,29.320672154426575
22.0,-3.538833186030388,-36.19559109210968,29.54925000667572
23.0,-3.066003695130348,-39.05620872974396,29.71477210521698
24.0,-2.648337744176388,-41.743457317352295,29.943352937698364
25.0,-1.6790371388196945,-44.233691692352295,30.093109607696533
