% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 28 2025, 16:23
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
-0.25                     -0.2594331180075244
-0.24404086408056064      -0.2614811105928837
-0.24341205590035583      -0.2616972148247855
-0.24327455946284754      -0.2617444686025708
-0.24112098614713953      -0.2624845930505145
-0.2409891267341977       -0.2625299095366065
-0.2393533247381207       -0.26207879244788745
-0.23634757058963263      -0.26203843798030707
-0.23077951779608963      -0.2638407806608594
-0.22941325307181035      -0.264283031716446
-0.22716497104550878      -0.2647903815056908
-0.22526564090376375      -0.2653338082813358
-0.22092058702211867      -0.2670812076669731
-0.21981096477788747      -0.2675274514376314
-0.21939079505214876      -0.26769642617088485
-0.21840949960708927      -0.2680910622570052
-0.21446138328802997      -0.2696788299161161
-0.21439204151573216      -0.26970671628383747
-0.2116166190587887       -0.2708228753990679
-0.2087080528656761       -0.2724468002516818
-0.20846908663753091      -0.27303608284949266
-0.2077099822141809       -0.27346253842594637
-0.2030769910923936       -0.2760937117921177
-0.20150665343882884      -0.2769864154690851
-0.2000051592139306       -0.277839983115806
-0.19982447824581193      -0.2779426964171338
-0.1944874065495473       -0.2809767085715667
-0.19442934274459028      -0.28100971661417845
-0.1944062035626132       -0.2810228707487597
-0.1908279920710757       -0.28305700815112855
-0.1885978753929494       -0.2843247822213175
-0.1873520320503517       -0.28503301775928475
-0.18616080634179666      -0.2857102043297718
-0.18616080634179666      -0.2848365465005282
-0.17923174168407652      -0.28859926429967464
-0.17845011574148384      -0.2890237137732712
-0.1776588918314212       -0.28879496327127224
-0.17718095153447933      -0.28799621738077824
-0.1765602096255563       -0.2878139537620372
-0.17380258049428418      -0.28778020310926966
-0.17380258049428415      -0.2870042525683941
-0.17245904798220354      -0.2871628902972827
-0.171951587199453        -0.2869297273183741
-0.17039238264843587      -0.28621331968610164
-0.16899040159178813      -0.28556915152444773
-0.16884765255587506      -0.2855035626324966
-0.1669761447304308       -0.2846436610313011
-0.1667591025532721       -0.28454393667368394
-0.16569403497479246      -0.2840545701299403
-0.16523625712954654      -0.28384423496768685
-0.16371529167712717      -0.28502338458944193
-0.16371529167712717      -0.2831453970520188
-0.1628363597607882       -0.284898418942082
-0.16222432943827236      -0.2848114010923086
-0.1617631307688978       -0.2847458283338131
